CompanyKey,Company,Year,WomenPct,BvdID,NACE,IncorpYear,NumDirectors,TotalAssets_m,ShareFunds_m,NetIncome_m,Revenue_m,MarketCap_m,Employees,ROA,TotalDebt_m,TobinQ,GenderDiv,GenderDivSq,Blau,FCA_Post,CriticalMass,GenderDiv_x_Post,FirmSize,Leverage,FirmAge,Industry
PEARSON,Pearson Plc,2024,60.0,GB00053723,5811,1897.0,27.0,6892.0,4053.0,434.0,3594.0,8541.514930092,17024.0,0.06297156123041207,2839.0,1.6512644994329657,0.6,0.36,0.48,1,1,0.6,8.83811659764782,0.4119268717353453,127.0,58
NEXT,Next Plc,2024,33.3,GB04412362,4791,2001.0,16.0,4872.5,1754.3,736.1,6121.5,12304.985478377,50945.0,0.15107234479220114,3118.2,3.165353612801847,0.33299999999999996,0.11088899999999997,0.444222,1,1,0.33299999999999996,8.491362431381717,0.6399589533093893,23.0,47
NEXT,Next Plc,2024,33.3,GB01579589,7320,1980.0,13.0,604.962,181.192,39.465,729.788,342.135126657,3992.0,0.06523550239519177,423.77,1.2660384068040638,0.33299999999999996,0.11088899999999997,0.444222,1,1,0.33299999999999996,6.405165646140861,0.7004902787282506,44.0,73
DIAGEO,Diageo Plc,2024,70.0,GB00023307,1101,1886.0,23.0,35929.3701626819,9536.6032867918,3057.71787240135,16014.698593204901,55345.261913796,30092.0,0.08510357566961343,26392.7668758901,2.2749641426941416,0.7,0.48999999999999994,0.42000000000000004,1,1,0.7,10.489310350387594,0.734573602498131,138.0,11
ASTRAZENECA,AstraZeneca Plc,2024,42.9,GB02723534,2120,1991.0,33.0,82926.1974081526,32578.2343852415,5607.59166402031,43351.0277525812,162311.180771709,94300.0,0.06762147354255774,50347.9630229111,2.564438626649403,0.429,0.18404099999999998,0.4899180000000001,1,1,0.429,11.325706303363129,0.6071418272696695,33.0,21
NATIONAL GRID,National Grid Plc,2024,36.4,GB04031152,3522,1999.0,50.0,106742.0,37826.0,2902.0,18378.0,49436.465796108,31654.0,0.027187049146540257,68916.0,1.1087712971099286,0.364,0.132496,0.463008,1,1,0.364,11.578169986830629,0.6456315227370669,25.0,35
HALEON,Haleon Plc,2024,54.5,GB13691224,2120,2020.0,29.0,34315.0,16224.0,1442.0,11371.0,34167.383329755,24427.0,0.042022439166545245,18091.0,1.52290203496299,0.545,0.29702500000000004,0.49595,1,1,0.545,10.443337855342735,0.5272038467142649,4.0,21
SAGE,Sage Group Plc,2024,40.0,GB02231246,5829,1987.0,18.0,3639.0,1093.0,323.0,2332.0,10293.914739963,10740.0,0.08876064852981588,2546.0,3.5284184501134925,0.4,0.16000000000000003,0.48,1,1,0.4,8.19946419761216,0.6996427589997252,37.0,58
SEVERN TRENT,Severn Trent Plc,2024,66.7,GB02366619,3600,1988.0,17.0,15909.7,1770.8,229.4,2429.4,7598.380214159,9539.0,0.014418876534441252,14138.900000000001,1.3662910183195787,0.667,0.44488900000000003,0.444222,1,1,0.667,9.674684265088688,0.8886968327498319,36.0,36
GSK,GSK Plc,2024,50.0,GB03888792,2120,1999.0,30.0,59463.0,13086.0,2575.0,32015.0,55814.210808732,68629.0,0.04330423961118679,46377.0,1.7185680306868472,0.5,0.25,0.5,1,1,0.5,10.993109549366105,0.7799303768730135,25.0,21
LAND SECURITIES,Land Securities Group Plc,2024,50.0,GB04369054,9499,1904.0,23.0,11621.0,6532.0,396.0,842.0,4097.185554,704.0,0.03407624128732467,5089.0,0.7904815036571723,0.5,0.25,0.5,1,1,0.5,9.360569085222874,0.4379141209878668,120.0,94
WPP NEW,WPP Plc,2024,41.7,GBJE111714,7311,1904.0,49.0,25509.0,3734.0,542.0,14741.0,8926.010891165,108044.0,0.021247402877415816,21775.0,1.203536433853346,0.41700000000000004,0.17388900000000004,0.48622200000000004,1,1,0.41700000000000004,10.146786610053903,0.8536202908777294,120.0,73
CONVATEC,Convatec Group Plc,2024,44.4,GB10361298,4690,2015.0,21.0,2801.80308443943,1346.2205488790198,151.847364889249,1824.71909556152,4534.134285567,10843.0,0.05419630156472249,1455.5825355604104,2.1378079189051222,0.444,0.197136,0.49372799999999994,1,1,0.444,7.9380184476392115,0.5195163584637268,9.0,46
AUTO TRADER,Auto Trader Group Plc,2024,66.7,GB09439967,4511,2014.0,29.0,639.6,569.4,282.6,601.1,6549.7006176,1267.0,0.3728120567375876,70.20000000000005,8.71465224789989,0.667,0.44488900000000003,0.444222,1,1,0.667,6.460842980959799,0.2194338772094706,10.0,45
